user_id,movie_id,rating
u00000,m01116,7.4
u00000,m00796,7.5
u00000,m01331,7.6
u00000,m01824,6.7
u00000,m01404,9.9
u00000,m01158,8.0
u00000,m00542,7.4
u00000,m01386,5.3
u00000,m01168,7.8
u00000,m00692,4.6
u00000,m01955,2.9
u00000,m00520,10
u00000,m00614,3.8
u00000,m00081,9.5
u00000,m00103,5.2
u00000,m00174,6.3
u00000,m01915,9.0
u00000,m00120,9.4
u00000,m01174,8.5
u00000,m00057,6.8
u00000,m01314,10
u00000,m00423,6.0
u00000,m00820,8.9
u00000,m00005,7.1
u00000,m01468,6.6
u00000,m01242,6.6
u00000,m01454,9.5
u00000,m00190,3.6
u00000,m00704,9.1
u00000,m00236,10
u00000,m00736,9.2
u00000,m00298,5.3
u00000,m01905,7.5
u00000,m01772,6.8
u00000,m00413,8.8
u00000,m00740,3.4
u00000,m01701,9.4
u00000,m00246,7.7
u00000,m01698,5.4
u00000,m00427,5.5
u00000,m01208,6.7
u00000,m01063,6.0
u00000,m01931,7.4
u00000,m00213,7.2
u00000,m00045,7.9
u00000,m00839,4.9
u00000,m01976,5.8
u00000,m00110,9.4
u00000,m01052,6.8
u00000,m00608,7.9
u00000,m00894,9.5
u00000,m01446,5.0
u00000,m00469,8.2
u00000,m00941,7.9
u00000,m00333,6.5
u00000,m01005,4.3
u00000,m00458,4.5
u00000,m01923,4.8
u00000,m00140,9.7
u00000,m00906,4.1
u00000,m00340,5.0
u00000,m01260,10
u00000,m01510,5.6
u00000,m01245,5.9
u00000,m01376,9.6
u00000,m00266,5.4
u00000,m00716,5.7
u00000,m00581,6.7
u00000,m00594,6.4
u00000,m00027,8.8
u00000,m01736,6.8
u00000,m01010,8.4
u00000,m01828,5.4
u00000,m01143,3.9
u00000,m01280,6.6
u00000,m00712,7.2
u00000,m01194,7.9
u00000,m01524,7.7
u00000,m00578,8.4
u00000,m01711,10
u00000,m00434,6.0
u00000,m01079,9.0
u00000,m01350,7.3
u00000,m00305,8.8
u00000,m00002,10
u00000,m01159,8.8
u00000,m01798,6.9
u00000,m01207,6.6
u00000,m00328,4.5
u00000,m00517,6.3
u00000,m00402,6.8
u00000,m01107,8.7
u00000,m01363,7.3
u00000,m01593,4.0
u00000,m00040,7.1
u00000,m01100,4.5
u00000,m00788,10
u00000,m01564,5.5
u00000,m00536,6.0
u00000,m01111,6.8
u00000,m01144,5.4
u00000,m00695,4.9
u00000,m00854,10
u00000,m00087,5.7
u00000,m00264,3.8
u00000,m00758,9.3
u00000,m00205,6.5
u00000,m00974,6.0
u00000,m00496,9.6
u00000,m01286,7.6
u00000,m00816,8.0
u00000,m00223,7.5
u00000,m01971,4.8
u00000,m01703,6.4
u00000,m00162,5.6
u00000,m00576,6.2
u00000,m01257,7.3
u00000,m00499,9.9
u00000,m00925,7.1
u00000,m01092,6.4
u00000,m01064,7.3
u00000,m00098,5.8
u00000,m00967,5.6
u00000,m00639,7.3
u00000,m01629,7.0
u00000,m01162,8.1
u00001,m01025,8.3
u00001,m01664,5.6
u00001,m00576,8.2
u00001,m00843,4.9
u00001,m01262,7.7
u00001,m01027,10
u00001,m00083,8.9
u00001,m00452,6.6
u00001,m01475,6.2
u00001,m01264,6.7
u00001,m01667,6.9
u00001,m01924,6.5
u00001,m01729,5.3
u00001,m01483,6.7
u00001,m00585,8.6
u00001,m01567,7.9
u00001,m01621,7.3
u00001,m00873,7.6
u00001,m00271,5.4
u00001,m00803,5.9
u00001,m00528,5.7
u00001,m01763,4.2
u00001,m01389,4.3
u00001,m00238,6.3
u00001,m00059,8.2
u00001,m01653,8.7
u00001,m00199,7.7
u00001,m00992,10
u00001,m00876,9.9
u00001,m00437,8.1
u00001,m01822,10
u00001,m01499,7.0
u00001,m00902,4.5
u00001,m01752,7.6
u00001,m01090,8.1
u00001,m01787,3.9
u00001,m01142,8.0
u00001,m00392,7.7
u00001,m00887,6.7
u00001,m00034,7.0
u00001,m01038,6.4
u00001,m00281,6.2
u00001,m00175,6.4
u00001,m00501,6.1
u00001,m00240,6.9
u00001,m00892,7.4
u00001,m01484,4.6
u00001,m00447,4.9
u00001,m00204,7.9
u00001,m00625,6.8
u00001,m00040,5.3
u00001,m00350,10
u00001,m00616,7.1
u00001,m01376,5.3
u00001,m01705,6.9
u00001,m01150,7.7
u00001,m01174,6.9
u00001,m01229,5.6
u00001,m00646,8.7
u00001,m00071,7.3
u00001,m01216,6.9
u00001,m01923,7.8
u00001,m00886,8.1
u00001,m01697,9.6
u00001,m01103,6.3
u00001,m01508,9.1
u00001,m00409,6.2
u00001,m00984,6.3
u00001,m00133,6.0
u00001,m01781,6.1
u00001,m01478,6.0
u00001,m01994,8.6
u00001,m01246,4.9
u00001,m00869,5.8
u00001,m00349,8.6
u00001,m00574,6.6
u00001,m00069,8.3
u00001,m00934,7.6
u00001,m01639,3.9
u00001,m00364,7.9
u00001,m00698,6.2
u00001,m00688,8.6
u00001,m00111,7.4
u00001,m01297,8.4
u00001,m01654,8.7
u00001,m00780,5.3
